# 1 /(mass [Msun])		name		JPL id		internal id
1.0				Sun		10		10

6.02365794492933620e+06		Mercury		1		1
4.08523718656268204e+05		Venus		2		2
3.32946048773048213e+05		Earth		399		399
3.09870354673725273e+06		Mars		4		4
1.04734863124400454e+03		Jupiter		5		5
3.49790180079320044e+03		Saturn		6		6
2.29029507834766191e+04		Uranus		7		7
1.94122597758754673e+04		Neptune		8		8
1.36045556167380244e+08		Pluto		9		72057594038083239

2.11902913996742201e+09		Ceres		1		72057594037948899
9.71122664959812355e+09		Pallas		2		72057594037948900
6.91005231035131531e+10		Juno		3		72057594037948901
7.67646068680440331e+09		Vesta		4		72057594037948902
2.35927034111103439e+10		Hygiea		10		72057594037948908
6.56011187658897781e+10		Eunomia		15		72057594037948913
1.22953445817123718e+11		Euphrosyne	31		72057594037948929
4.94635345133462448e+10		Europa		52		72057594037948950
3.40770353836609001e+10		Davida		511		72057594037949409
4.68880681429191055e+10		Interamnia	704		72057594037949602
8.34848877284898376e+10		Psyche		16		72057594037948914
1.41468527548287018e+11		Cybele		65		72057594037948963
1.11541082696269424e+11		Thisbe		88		72057594037948986
9.19227747550098419e+10		Camilla		107		72057594037949005
1.16427460635738602e+11		Iris		7		72057594037948905
6.12076731319770355e+10		Sylvia		87		72057594037948985

2.70687029523511454e+07		Moon		301		301
